z_sga_grupo_programa_id;cod_grupo;nome_grupo;gestor;cod_programa;idGrupo;idPrograma;
23597;HCI;;super;fp1620a;808;fp1620a2;1
23598;HCM;;super;fp1620a;688;fp1620a2;1
23599;sup;;super;fp1620a;2;fp1620a2;1
23600;HCI;;super;fp1620b;808;fp1620b2;1
23601;HCM;;super;fp1620b;688;fp1620b2;1
23602;sup;;super;fp1620b;2;fp1620b2;1
23603;HCI;;super;fp1621;808;fp16212;1
23604;HCM;;super;fp1621;688;fp16212;1
23605;sup;;super;fp1621;2;fp16212;1
23606;HCI;;super;fp1622;808;fp16222;1
23607;HCM;;super;fp1622;688;fp16222;1
23608;sup;;super;fp1622;2;fp16222;1
23609;HCI;;super;fp1622a;808;fp1622a2;1
23610;HCM;;super;fp1622a;688;fp1622a2;1
23611;sup;;super;fp1622a;2;fp1622a2;1
23612;sup;;super;fp1630;2;fp16302;1
23613;HCI;;super;fp1640;808;fp16402;1
23614;HCM;;super;fp1640;688;fp16402;1
23615;sup;;super;fp1640;2;fp16402;1
23616;HCI;;super;fp1641;808;fp16412;1
23617;HCM;;super;fp1641;688;fp16412;1
23618;sup;;super;fp1641;2;fp16412;1
23619;HCI;;super;fp1660;808;fp16602;1
23620;HCM;;super;fp1660;688;fp16602;1
23621;sup;;super;fp1660;2;fp16602;1
23622;HCI;;super;fp1660a;808;fp1660a2;1
23623;HCM;;super;fp1660a;688;fp1660a2;1
23624;sup;;super;fp1660a;2;fp1660a2;1
23625;ATM;;super;fp1661;690;fp16612;1
23626;FP5;;super;fp1661;413;fp16612;1
23627;HCI;;super;fp1661;808;fp16612;1
23628;HCM;;super;fp1661;688;fp16612;1
23629;sup;;super;fp1661;2;fp16612;1
23630;HCI;;super;fp1662;808;fp16622;1
23631;HCM;;super;fp1662;688;fp16622;1
23632;sup;;super;fp1662;2;fp16622;1
23633;HCI;;super;fp1681;808;fp16812;1
23634;HCM;;super;fp1681;688;fp16812;1
23635;sup;;super;fp1681;2;fp16812;1
23636;HCI;;super;fp1696;808;fp16962;1
23637;HCM;;super;fp1696;688;fp16962;1
23638;sup;;super;fp1696;2;fp16962;1
23639;HCI;;super;FP1700A;808;FP1700A2;1
23640;HCM;;super;FP1700A;688;FP1700A2;1
23641;sup;;super;FP1700A;2;FP1700A2;1
23642;HCI;;super;fp1708a;808;fp1708a2;1
23643;HCM;;super;fp1708a;688;fp1708a2;1
23644;sup;;super;fp1708a;2;fp1708a2;1
23645;HCI;;super;fp1740;808;fp17402;1
23646;HCM;;super;fp1740;688;fp17402;1
23647;sup;;super;fp1740;2;fp17402;1
23648;HCI;;super;fp1740a;808;fp1740a2;1
23649;HCM;;super;fp1740a;688;fp1740a2;1
23650;sup;;super;fp1740a;2;fp1740a2;1
23651;HCI;;super;fp1740b;808;fp1740b2;1
23652;HCM;;super;fp1740b;688;fp1740b2;1
23653;sup;;super;fp1740b;2;fp1740b2;1
23654;HCI;;super;fp1741;808;fp17412;1
23655;HCM;;super;fp1741;688;fp17412;1
23656;sup;;super;fp1741;2;fp17412;1
23657;HCI;;super;fp1742;808;fp17422;1
23658;HCM;;super;fp1742;688;fp17422;1
23659;sup;;super;fp1742;2;fp17422;1
23660;HCI;;super;fp1742a;808;fp1742a2;1
23661;HCM;;super;fp1742a;688;fp1742a2;1
23662;sup;;super;fp1742a;2;fp1742a2;1
23663;ACD;;super;fp1760;877;fp17602;1
23664;HCI;;super;fp1760;808;fp17602;1
23665;HCM;;super;fp1760;688;fp17602;1
23666;sup;;super;fp1760;2;fp17602;1
23667;ACD;;super;fp1760a;877;fp1760a2;1
23668;HCI;;super;fp1760a;808;fp1760a2;1
23669;HCM;;super;fp1760a;688;fp1760a2;1
23670;sup;;super;fp1760a;2;fp1760a2;1
23671;HCI;;super;fp1761;808;fp17612;1
23672;HCM;;super;fp1761;688;fp17612;1
23673;RH4;;super;fp1761;951;fp17612;1
23674;sup;;super;fp1761;2;fp17612;1
23675;FPD;;super;fp1762;903;fp17622;1
23676;HCI;;super;fp1762;808;fp17622;1
23677;HCM;;super;fp1762;688;fp17622;1
23678;sup;;super;fp1762;2;fp17622;1
23679;FPD;;super;fp1762a;903;fp1762a2;1
23680;HCI;;super;fp1762a;808;fp1762a2;1
23681;HCM;;super;fp1762a;688;fp1762a2;1
23682;sup;;super;fp1762a;2;fp1762a2;1
23683;HCI;;super;FP1762B;808;FP1762B2;1
23684;HCM;;super;FP1762B;688;FP1762B2;1
23685;sup;;super;FP1762B;2;FP1762B2;1
23686;HCI;;super;fp1763;808;fp17632;1
23687;HCM;;super;fp1763;688;fp17632;1
23688;sup;;super;fp1763;2;fp17632;1
23689;HCI;;super;fp1780;808;fp17802;1
23690;HCM;;super;fp1780;688;fp17802;1
23691;sup;;super;fp1780;2;fp17802;1
23692;HCI;;super;fp1780a;808;fp1780a2;1
23693;HCM;;super;fp1780a;688;fp1780a2;1
23694;sup;;super;fp1780a;2;fp1780a2;1
23695;HCI;;super;fp1781;808;fp17812;1
23696;HCM;;super;fp1781;688;fp17812;1
23697;sup;;super;fp1781;2;fp17812;1
23698;HCI;;super;fp1782;808;fp17822;1
23699;HCM;;super;fp1782;688;fp17822;1
23700;sup;;super;fp1782;2;fp17822;1
23701;HCI;;super;fp1800;808;fp18002;1
23702;HCM;;super;fp1800;688;fp18002;1
23703;sup;;super;fp1800;2;fp18002;1
23704;HCI;;super;fp1800a;808;fp1800a2;1
23705;HCM;;super;fp1800a;688;fp1800a2;1
23706;sup;;super;fp1800a;2;fp1800a2;1
23707;HCI;;super;fp1801;808;fp18012;1
23708;HCM;;super;fp1801;688;fp18012;1
23709;sup;;super;fp1801;2;fp18012;1
23710;HCI;;super;fp1802a;808;fp1802a2;1
23711;HCM;;super;fp1802a;688;fp1802a2;1
23712;sup;;super;fp1802a;2;fp1802a2;1
23713;HCI;;super;fp1820;808;fp18202;1
23714;HCM;;super;fp1820;688;fp18202;1
23715;sup;;super;fp1820;2;fp18202;1
23716;HCI;;super;fp1820a;808;fp1820a2;1
23717;HCM;;super;fp1820a;688;fp1820a2;1
23718;sup;;super;fp1820a;2;fp1820a2;1
23719;HCI;;super;fp1821;808;fp18212;1
23720;HCM;;super;fp1821;688;fp18212;1
23721;sup;;super;fp1821;2;fp18212;1
23722;HCI;;super;fp1822;808;fp18222;1
23723;HCM;;super;fp1822;688;fp18222;1
23724;sup;;super;fp1822;2;fp18222;1
23725;HCI;;super;fp1822a;808;fp1822a2;1
23726;HCM;;super;fp1822a;688;fp1822a2;1
23727;sup;;super;fp1822a;2;fp1822a2;1
23728;HCI;;super;fp1840;808;fp18402;1
23729;HCM;;super;fp1840;688;fp18402;1
23730;sup;;super;fp1840;2;fp18402;1
23731;HCI;;super;fp1840r8;808;fp1840r82;1
23732;HCM;;super;fp1840r8;688;fp1840r82;1
23733;sup;;super;fp1840r8;2;fp1840r82;1
23734;sup;;super;FP1845;2;FP18452;1
23735;HCI;;super;fp1850;808;fp18502;1
23736;HCM;;super;fp1850;688;fp18502;1
23737;sup;;super;fp1850;2;fp18502;1
23738;HCI;;super;fp1860;808;fp18602;1
23739;HCM;;super;fp1860;688;fp18602;1
23740;sup;;super;fp1860;2;fp18602;1
23741;HCI;;super;FP1860A;808;FP1860A2;1
23742;HCM;;super;FP1860A;688;FP1860A2;1
23743;sup;;super;FP1860A;2;FP1860A2;1
23744;HCI;;super;fp1861;808;fp18612;1
23745;HCM;;super;fp1861;688;fp18612;1
23746;sup;;super;fp1861;2;fp18612;1
23747;HCI;;super;fp1862;808;fp18622;1
23748;HCM;;super;fp1862;688;fp18622;1
23749;sup;;super;fp1862;2;fp18622;1
23750;HCI;;super;FP1862A;808;FP1862A2;1
23751;HCM;;super;FP1862A;688;FP1862A2;1
23752;sup;;super;FP1862A;2;FP1862A2;1
23753;HCI;;super;fp1900;808;fp19002;1
23754;HCM;;super;fp1900;688;fp19002;1
23755;sup;;super;fp1900;2;fp19002;1
23756;HCI;;super;fp1900a;808;fp1900a2;1
23757;HCM;;super;fp1900a;688;fp1900a2;1
23758;sup;;super;fp1900a;2;fp1900a2;1
23759;HCI;;super;fp1901;808;fp19012;1
23760;HCM;;super;fp1901;688;fp19012;1
23761;sup;;super;fp1901;2;fp19012;1
23762;HCI;;super;fp1902;808;fp19022;1
23763;HCM;;super;fp1902;688;fp19022;1
23764;sup;;super;fp1902;2;fp19022;1
23765;HCI;;super;fp1910;808;fp19102;1
23766;HCM;;super;fp1910;688;fp19102;1
23767;sup;;super;fp1910;2;fp19102;1
23768;sup;;super;fp1920;2;fp19202;1
23769;HCI;;super;fp1930;808;fp19302;1
23770;HCM;;super;fp1930;688;fp19302;1
23771;sup;;super;fp1930;2;fp19302;1
23772;HCI;;super;fp1930a;808;fp1930a2;1
23773;HCM;;super;fp1930a;688;fp1930a2;1
23774;sup;;super;fp1930a;2;fp1930a2;1
23775;HCI;;super;fp1930b;808;fp1930b2;1
23776;HCM;;super;fp1930b;688;fp1930b2;1
23777;sup;;super;fp1930b;2;fp1930b2;1
23778;HCI;;super;fp1931;808;fp19312;1
23779;HCM;;super;fp1931;688;fp19312;1
23780;sup;;super;fp1931;2;fp19312;1
23781;HCI;;super;fp1940;808;fp19402;1
23782;HCM;;super;fp1940;688;fp19402;1
23783;sup;;super;fp1940;2;fp19402;1
23784;HCI;;super;fp1942;808;fp19422;1
23785;HCM;;super;fp1942;688;fp19422;1
23786;sup;;super;fp1942;2;fp19422;1
23787;HCI;;super;FP1999;808;FP19992;1
23788;HCM;;super;FP1999;688;FP19992;1
23789;sup;;super;FP1999;2;FP19992;1
23790;HCI;;super;fp2001;808;fp20012;1
23791;HCM;;super;fp2001;688;fp20012;1
23792;sup;;super;fp2001;2;fp20012;1
23793;sup;;super;FP2014;2;FP20142;1
23794;HCI;;super;fp2021;808;fp20212;1
23795;HCM;;super;fp2021;688;fp20212;1
23796;sup;;super;fp2021;2;fp20212;1
23797;HCI;;super;fp2040;808;fp20402;1
23798;HCM;;super;fp2040;688;fp20402;1
23799;sup;;super;fp2040;2;fp20402;1
23800;HCI;;super;fp2040a;808;fp2040a2;1
23801;HCM;;super;fp2040a;688;fp2040a2;1
23802;sup;;super;fp2040a;2;fp2040a2;1
23803;HCI;;super;fp2041;808;fp20412;1
23804;HCM;;super;fp2041;688;fp20412;1
23805;sup;;super;fp2041;2;fp20412;1
23806;HCI;;super;fp2042;808;fp20422;1
23807;HCM;;super;fp2042;688;fp20422;1
23808;sup;;super;fp2042;2;fp20422;1
23809;HCI;;super;fp2042b;808;fp2042b2;1
23810;HCM;;super;fp2042b;688;fp2042b2;1
23811;sup;;super;fp2042b;2;fp2042b2;1
23812;HCI;;super;fp2051;808;fp20512;1
23813;HCM;;super;fp2051;688;fp20512;1
23814;sup;;super;fp2051;2;fp20512;1
23815;HCI;;super;fp2060;808;fp20602;1
23816;HCM;;super;fp2060;688;fp20602;1
23817;sup;;super;fp2060;2;fp20602;1
23818;HCI;;super;fp2080;808;fp20802;1
23819;HCM;;super;fp2080;688;fp20802;1
23820;sup;;super;fp2080;2;fp20802;1
23821;HCI;;super;fp2100;808;fp21002;1
23822;HCM;;super;fp2100;688;fp21002;1
23823;sup;;super;fp2100;2;fp21002;1
23824;HCI;;super;fp2121;808;fp21212;1
23825;HCM;;super;fp2121;688;fp21212;1
23826;sup;;super;fp2121;2;fp21212;1
23827;HCI;;super;fp2141;808;fp21412;1
23828;HCM;;super;fp2141;688;fp21412;1
23829;sup;;super;fp2141;2;fp21412;1
23830;HCI;;super;fp2160;808;fp21602;1
23831;HCM;;super;fp2160;688;fp21602;1
23832;RPA;;super;fp2160;931;fp21602;1
23833;sup;;super;fp2160;2;fp21602;1
23834;HCI;;super;fp2160a;808;fp2160a2;1
23835;HCM;;super;fp2160a;688;fp2160a2;1
23836;RPA;;super;fp2160a;931;fp2160a2;1
23837;sup;;super;fp2160a;2;fp2160a2;1
23838;HCI;;super;fp2161;808;fp21612;1
23839;HCM;;super;fp2161;688;fp21612;1
23840;sup;;super;fp2161;2;fp21612;1
23841;HCI;;super;fp2162;808;fp21622;1
23842;HCM;;super;fp2162;688;fp21622;1
23843;sup;;super;fp2162;2;fp21622;1
23844;HCI;;super;fp2162a;808;fp2162a2;1
23845;HCM;;super;fp2162a;688;fp2162a2;1
23846;sup;;super;fp2162a;2;fp2162a2;1
23847;HCI;;super;fp2163;808;fp21632;1
23848;HCM;;super;fp2163;688;fp21632;1
23849;sup;;super;fp2163;2;fp21632;1
23850;HCI;;super;fp2164;808;fp21642;1
23851;HCM;;super;fp2164;688;fp21642;1
23852;sup;;super;fp2164;2;fp21642;1
23853;HCI;;super;fp2165;808;fp21652;1
23854;HCM;;super;fp2165;688;fp21652;1
23855;sup;;super;fp2165;2;fp21652;1
23856;HCI;;super;fp2166;808;fp21662;1
23857;HCM;;super;fp2166;688;fp21662;1
23858;RPA;;super;fp2166;931;fp21662;1
23859;sup;;super;fp2166;2;fp21662;1
23860;HCI;;super;fp2167;808;fp21672;1
23861;HCM;;super;fp2167;688;fp21672;1
23862;sup;;super;fp2167;2;fp21672;1
23863;HCI;;super;fp2170;808;fp21702;1
23864;HCM;;super;fp2170;688;fp21702;1
23865;sup;;super;fp2170;2;fp21702;1
23866;HCI;;super;fp2180;808;fp21802;1
23867;HCM;;super;fp2180;688;fp21802;1
23868;sup;;super;fp2180;2;fp21802;1
23869;HCI;;super;fp2180a;808;fp2180a2;1
23870;HCM;;super;fp2180a;688;fp2180a2;1
23871;sup;;super;fp2180a;2;fp2180a2;1
23872;HCI;;super;fp2182;808;fp21822;1
23873;HCM;;super;fp2182;688;fp21822;1
23874;sup;;super;fp2182;2;fp21822;1
23875;HCI;;super;fp2200;808;fp22002;1
23876;HCM;;super;fp2200;688;fp22002;1
23877;sup;;super;fp2200;2;fp22002;1
23878;HCI;;super;fp2220;808;fp22202;1
23879;HCM;;super;fp2220;688;fp22202;1
23880;sup;;super;fp2220;2;fp22202;1
23881;HCI;;super;fp2220a;808;fp2220a2;1
23882;HCM;;super;fp2220a;688;fp2220a2;1
23883;sup;;super;fp2220a;2;fp2220a2;1
23884;HCI;;super;fp2220b;808;fp2220b2;1
23885;HCM;;super;fp2220b;688;fp2220b2;1
23886;sup;;super;fp2220b;2;fp2220b2;1
23887;HCI;;super;FP2220C;808;FP2220C2;1
23888;HCM;;super;FP2220C;688;FP2220C2;1
23889;sup;;super;FP2220C;2;FP2220C2;1
23890;HCI;;super;fp2221;808;fp22212;1
23891;HCM;;super;fp2221;688;fp22212;1
23892;sup;;super;fp2221;2;fp22212;1
23893;HCI;;super;fp2222;808;fp22222;1
23894;HCM;;super;fp2222;688;fp22222;1
23895;sup;;super;fp2222;2;fp22222;1
23896;HCI;;super;fp2222a;808;fp2222a2;1
23897;HCM;;super;fp2222a;688;fp2222a2;1
23898;sup;;super;fp2222a;2;fp2222a2;1
23899;HCI;;super;fp2222b;808;fp2222b2;1
23900;HCM;;super;fp2222b;688;fp2222b2;1
23901;sup;;super;fp2222b;2;fp2222b2;1
23902;HCI;;super;fp2222c;808;fp2222c2;1
23903;HCM;;super;fp2222c;688;fp2222c2;1
23904;sup;;super;fp2222c;2;fp2222c2;1
23905;HCI;;super;FP2240;808;FP22402;1
23906;HCM;;super;FP2240;688;FP22402;1
23907;sup;;super;FP2240;2;FP22402;1
23908;HCI;;super;fp2304;808;fp23042;1
23909;HCM;;super;fp2304;688;fp23042;1
23910;sup;;super;fp2304;2;fp23042;1
23911;HCI;;super;fp2400;808;fp24002;1
23912;HCM;;super;fp2400;688;fp24002;1
23913;sup;;super;fp2400;2;fp24002;1
23914;HCI;;super;fp2400a;808;fp2400a2;1
23915;HCM;;super;fp2400a;688;fp2400a2;1
23916;sup;;super;fp2400a;2;fp2400a2;1
23917;HCI;;super;fp2400b;808;fp2400b2;1
23918;HCM;;super;fp2400b;688;fp2400b2;1
23919;sup;;super;fp2400b;2;fp2400b2;1
23920;HCI;;super;fp2400c;808;fp2400c2;1
23921;HCM;;super;fp2400c;688;fp2400c2;1
23922;sup;;super;fp2400c;2;fp2400c2;1
23923;HCI;;super;fp2400d;808;fp2400d2;1
23924;HCM;;super;fp2400d;688;fp2400d2;1
23925;sup;;super;fp2400d;2;fp2400d2;1
23926;HCI;;super;fp2401;808;fp24012;1
23927;HCM;;super;fp2401;688;fp24012;1
23928;sup;;super;fp2401;2;fp24012;1
23929;HCI;;super;fp2402;808;fp24022;1
23930;HCM;;super;fp2402;688;fp24022;1
23931;sup;;super;fp2402;2;fp24022;1
23932;HCI;;super;fp2410;808;fp24102;1
23933;HCM;;super;fp2410;688;fp24102;1
23934;sup;;super;fp2410;2;fp24102;1
23935;HCI;;super;fp2411;808;fp24112;1
23936;HCM;;super;fp2411;688;fp24112;1
23937;sup;;super;fp2411;2;fp24112;1
23938;HCI;;super;fp2412;808;fp24122;1
23939;HCM;;super;fp2412;688;fp24122;1
23940;sup;;super;fp2412;2;fp24122;1
23941;HCI;;super;fp2420;808;fp24202;1
23942;HCM;;super;fp2420;688;fp24202;1
23943;sup;;super;fp2420;2;fp24202;1
23944;HCI;;super;fp2430;808;fp24302;1
23945;HCM;;super;fp2430;688;fp24302;1
23946;sup;;super;fp2430;2;fp24302;1
23947;HCI;;super;fp2480;808;fp24802;1
23948;HCM;;super;fp2480;688;fp24802;1
23949;sup;;super;fp2480;2;fp24802;1
23950;HCI;;super;fp2500;808;fp25002;1
23951;HCM;;super;fp2500;688;fp25002;1
23952;sup;;super;fp2500;2;fp25002;1
23953;HCI;;super;fp2501;808;fp25012;1
23954;HCM;;super;fp2501;688;fp25012;1
23955;sup;;super;fp2501;2;fp25012;1
23956;HCI;;super;fp2502;808;fp25022;1
23957;HCM;;super;fp2502;688;fp25022;1
23958;sup;;super;fp2502;2;fp25022;1
23959;HCI;;super;FP2520;808;FP25202;1
23960;HCM;;super;FP2520;688;FP25202;1
23961;sup;;super;FP2520;2;FP25202;1
23962;HCI;;super;FP2521;808;FP25212;1
23963;HCM;;super;FP2521;688;FP25212;1
23964;sup;;super;FP2521;2;FP25212;1
23965;HCI;;super;FP2522;808;FP25222;1
23966;HCM;;super;FP2522;688;FP25222;1
23967;sup;;super;FP2522;2;FP25222;1
23968;HCI;;super;fp2540;808;fp25402;1
23969;HCM;;super;fp2540;688;fp25402;1
23970;sup;;super;fp2540;2;fp25402;1
23971;HCI;;super;FP2540A;808;FP2540A2;1
23972;HCM;;super;FP2540A;688;FP2540A2;1
23973;sup;;super;FP2540A;2;FP2540A2;1
23974;HCI;;super;fp2542;808;fp25422;1
23975;HCM;;super;fp2542;688;fp25422;1
23976;sup;;super;fp2542;2;fp25422;1
23977;HCI;;super;fp2580;808;fp25802;1
23978;HCM;;super;fp2580;688;fp25802;1
23979;sup;;super;fp2580;2;fp25802;1
23980;HCI;;super;fp2582;808;fp25822;1
23981;HCM;;super;fp2582;688;fp25822;1
23982;sup;;super;fp2582;2;fp25822;1
23983;HCI;;super;fp2600;808;fp26002;1
23984;HCM;;super;fp2600;688;fp26002;1
23985;sup;;super;fp2600;2;fp26002;1
23986;HCI;;super;fp2600a;808;fp2600a2;1
23987;HCM;;super;fp2600a;688;fp2600a2;1
23988;sup;;super;fp2600a;2;fp2600a2;1
23989;HCI;;super;fp2600b;808;fp2600b2;1
23990;HCM;;super;fp2600b;688;fp2600b2;1
23991;sup;;super;fp2600b;2;fp2600b2;1
23992;HCI;;super;fp2600c;808;fp2600c2;1
23993;HCM;;super;fp2600c;688;fp2600c2;1
23994;sup;;super;fp2600c;2;fp2600c2;1
23995;HCI;;super;fp2600d;808;fp2600d2;1
23996;HCM;;super;fp2600d;688;fp2600d2;1
23997;sup;;super;fp2600d;2;fp2600d2;1
23998;HCI;;super;fp2601;808;fp26012;1
23999;HCM;;super;fp2601;688;fp26012;1
24000;sup;;super;fp2601;2;fp26012;1
24001;HCI;;super;fp2602;808;fp26022;1
24002;HCM;;super;fp2602;688;fp26022;1
24003;sup;;super;fp2602;2;fp26022;1
24004;HCI;;super;fp2602a;808;fp2602a2;1
24005;HCM;;super;fp2602a;688;fp2602a2;1
24006;sup;;super;fp2602a;2;fp2602a2;1
24007;HCI;;super;fp2610;808;fp26102;1
24008;HCM;;super;fp2610;688;fp26102;1
24009;sup;;super;fp2610;2;fp26102;1
24010;HCI;;super;fp2611;808;fp26112;1
24011;HCM;;super;fp2611;688;fp26112;1
24012;sup;;super;fp2611;2;fp26112;1
24013;HCI;;super;fp2612;808;fp26122;1
24014;HCM;;super;fp2612;688;fp26122;1
24015;sup;;super;fp2612;2;fp26122;1
24016;HCI;;super;fp2640;808;fp26402;1
24017;HCM;;super;fp2640;688;fp26402;1
24018;sup;;super;fp2640;2;fp26402;1
24019;HCI;;super;fp2640b;808;fp2640b2;1
24020;HCM;;super;fp2640b;688;fp2640b2;1
24021;sup;;super;fp2640b;2;fp2640b2;1
24022;HCI;;super;fp2642;808;fp26422;1
24023;HCM;;super;fp2642;688;fp26422;1
24024;sup;;super;fp2642;2;fp26422;1
24025;HCI;;super;fp2661;808;fp26612;1
24026;HCM;;super;fp2661;688;fp26612;1
24027;sup;;super;fp2661;2;fp26612;1
24028;HCI;;super;fp2700;808;fp27002;1
24029;HCM;;super;fp2700;688;fp27002;1
24030;sup;;super;fp2700;2;fp27002;1
24031;HCI;;super;fp2700a;808;fp2700a2;1
24032;HCM;;super;fp2700a;688;fp2700a2;1
24033;sup;;super;fp2700a;2;fp2700a2;1
24034;HCI;;super;fp2700b;808;fp2700b2;1
24035;HCM;;super;fp2700b;688;fp2700b2;1
24036;sup;;super;fp2700b;2;fp2700b2;1
24037;HCI;;super;FP2700C;808;FP2700C2;1
24038;HCM;;super;FP2700C;688;FP2700C2;1
24039;sup;;super;FP2700C;2;FP2700C2;1
24040;HCI;;super;fp2700e;808;fp2700e2;1
24041;HCM;;super;fp2700e;688;fp2700e2;1
24042;sup;;super;fp2700e;2;fp2700e2;1
24043;HCI;;super;fp2702;808;fp27022;1
24044;HCM;;super;fp2702;688;fp27022;1
24045;sup;;super;fp2702;2;fp27022;1
24046;HCI;;super;fp2702b;808;fp2702b2;1
24047;HCM;;super;fp2702b;688;fp2702b2;1
24048;sup;;super;fp2702b;2;fp2702b2;1
24049;HCI;;super;fp2900;808;fp29002;1
24050;HCM;;super;fp2900;688;fp29002;1
24051;sup;;super;fp2900;2;fp29002;1
24052;HCI;;super;fp2900a;808;fp2900a2;1
24053;HCM;;super;fp2900a;688;fp2900a2;1
24054;sup;;super;fp2900a;2;fp2900a2;1
24055;sup;;super;fp2901;2;fp29012;1
24056;HCI;;super;fp2910;808;fp29102;1
24057;HCM;;super;fp2910;688;fp29102;1
24058;sup;;super;fp2910;2;fp29102;1
24059;HCI;;super;fp2911;808;fp29112;1
24060;HCM;;super;fp2911;688;fp29112;1
24061;sup;;super;fp2911;2;fp29112;1
24062;HCI;;super;fp2913;808;fp29132;1
24063;HCM;;super;fp2913;688;fp29132;1
24064;sup;;super;fp2913;2;fp29132;1
24065;HCI;;super;fp3000;808;fp30002;1
24066;HCM;;super;fp3000;688;fp30002;1
24067;sup;;super;fp3000;2;fp30002;1
24068;HCI;;super;fp3000c;808;fp3000c2;1
24069;HCM;;super;fp3000c;688;fp3000c2;1
24070;sup;;super;fp3000c;2;fp3000c2;1
24071;HCI;;super;fp3001;808;fp30012;1
24072;HCM;;super;fp3001;688;fp30012;1
24073;sup;;super;fp3001;2;fp30012;1
24074;HCI;;super;fp3002;808;fp30022;1
24075;HCM;;super;fp3002;688;fp30022;1
24076;sup;;super;fp3002;2;fp30022;1
24077;HCI;;super;fp3002a;808;fp3002a2;1
24078;HCM;;super;fp3002a;688;fp3002a2;1
24079;sup;;super;fp3002a;2;fp3002a2;1
24080;sup;;super;fp3005;2;fp30052;1
24081;HCI;;super;fp3010;808;fp30102;1
24082;HCM;;super;fp3010;688;fp30102;1
24083;sup;;super;fp3010;2;fp30102;1
24084;HCI;;super;fp3020;808;fp30202;1
24085;HCM;;super;fp3020;688;fp30202;1
24086;sup;;super;fp3020;2;fp30202;1
24087;sup;;super;FP3026;2;FP30262;1
24088;HCM;;super;fp3030;688;fp30302;1
24089;sup;;super;fp3030;2;fp30302;1
24090;HCI;;super;fp3040;808;fp30402;1
24091;HCM;;super;fp3040;688;fp30402;1
24092;sup;;super;fp3040;2;fp30402;1
24093;HCI;;super;fp3043;808;fp30432;1
24094;HCM;;super;fp3043;688;fp30432;1
24095;sup;;super;fp3043;2;fp30432;1
24096;HCI;;super;fp3045;808;fp30452;1
24097;HCM;;super;fp3045;688;fp30452;1
24098;sup;;super;fp3045;2;fp30452;1
24099;HCI;;super;fp3050;808;fp30502;1
24100;HCM;;super;fp3050;688;fp30502;1
24101;sup;;super;fp3050;2;fp30502;1
24102;HCI;;super;fp3060;808;fp30602;1
24103;HCM;;super;fp3060;688;fp30602;1
24104;sup;;super;fp3060;2;fp30602;1
24105;HCI;;super;fp3080;808;fp30802;1
24106;HCM;;super;fp3080;688;fp30802;1
24107;sup;;super;fp3080;2;fp30802;1
24108;HCI;;super;fp3080r1;808;fp3080r12;1
24109;HCM;;super;fp3080r1;688;fp3080r12;1
24110;sup;;super;fp3080r1;2;fp3080r12;1
24111;HCI;;super;fp3100;808;fp31002;1
24112;HCM;;super;fp3100;688;fp31002;1
24113;sup;;super;fp3100;2;fp31002;1
24114;HCI;;super;fp3100rp;808;fp3100rp2;1
24115;HCM;;super;fp3100rp;688;fp3100rp2;1
24116;sup;;super;fp3100rp;2;fp3100rp2;1
24117;HCI;;super;fp3110;808;fp31102;1
24118;HCM;;super;fp3110;688;fp31102;1
24119;sup;;super;fp3110;2;fp31102;1
24120;HCI;;super;fp3115;808;fp31152;1
24121;HCM;;super;fp3115;688;fp31152;1
24122;sup;;super;fp3115;2;fp31152;1
24123;HCI;;super;fp3120;808;fp31202;1
24124;HCM;;super;fp3120;688;fp31202;1
24125;sup;;super;fp3120;2;fp31202;1
24126;HCI;;super;fp3130;808;fp31302;1
24127;HCM;;super;fp3130;688;fp31302;1
24128;sup;;super;fp3130;2;fp31302;1
24129;HCI;;super;fp3131;808;fp31312;1
24130;HCM;;super;fp3131;688;fp31312;1
24131;sup;;super;fp3131;2;fp31312;1
24132;HCI;;super;fp3140;808;fp31402;1
24133;HCM;;super;fp3140;688;fp31402;1
24134;sup;;super;fp3140;2;fp31402;1
24135;HCI;;super;fp3141;808;fp31412;1
24136;HCM;;super;fp3141;688;fp31412;1
24137;sup;;super;fp3141;2;fp31412;1
24138;HCI;;super;fp3143;808;fp31432;1
24139;HCM;;super;fp3143;688;fp31432;1
24140;sup;;super;fp3143;2;fp31432;1
24141;HCI;;super;fp3160;808;fp31602;1
24142;HCM;;super;fp3160;688;fp31602;1
24143;sup;;super;fp3160;2;fp31602;1
24144;sup;;super;fp3170;2;fp31702;1
24145;HCI;;super;fp3180;808;fp31802;1
24146;HCM;;super;fp3180;688;fp31802;1
24147;sup;;super;fp3180;2;fp31802;1
24148;HCI;;super;fp3200;808;fp32002;1
24149;HCM;;super;fp3200;688;fp32002;1
24150;sup;;super;fp3200;2;fp32002;1
24151;HCI;;super;fp3220;808;fp32202;1
24152;HCM;;super;fp3220;688;fp32202;1
24153;sup;;super;fp3220;2;fp32202;1
24154;HCI;;super;fp3220r1;808;fp3220r12;1
24155;HCM;;super;fp3220r1;688;fp3220r12;1
24156;sup;;super;fp3220r1;2;fp3220r12;1
24157;HCI;;super;fp3240;808;fp32402;1
24158;HCM;;super;fp3240;688;fp32402;1
24159;sup;;super;fp3240;2;fp32402;1
24160;HCI;;super;fp3260;808;fp32602;1
24161;HCM;;super;fp3260;688;fp32602;1
24162;sup;;super;fp3260;2;fp32602;1
24163;HCI;;super;fp3270;808;fp32702;1
