z_sga_grupo_programa_id;cod_grupo;nome_grupo;gestor;cod_programa;idGrupo;idPrograma;
144;sup;;super;ab0618;2;ab06182;1
145;ASB;;super;ab0619;888;ab06192;1
146;Fro;;super;ab0619;73;ab06192;1
147;sup;;super;ab0619;2;ab06192;1
148;Fro;;super;ab0702;73;ab07022;1
149;sup;;super;ab0702;2;ab07022;1
150;Fro;;super;ab0703;73;ab07032;1
151;sup;;super;ab0703;2;ab07032;1
152;Fro;;super;ab0704;73;ab07042;1
153;sup;;super;ab0704;2;ab07042;1
154;Fro;;super;ab0705;73;ab07052;1
155;sup;;super;ab0705;2;ab07052;1
156;Fro;;super;ab0706;73;ab07062;1
157;sup;;super;ab0706;2;ab07062;1
158;Fro;;super;ab0707;73;ab07072;1
159;sup;;super;ab0707;2;ab07072;1
160;Fro;;super;ab0709;73;ab07092;1
161;sup;;super;ab0709;2;ab07092;1
162;Fro;;super;ab0710;73;ab07102;1
163;sup;;super;ab0710;2;ab07102;1
164;Fro;;super;abcm001;73;abcm0012;1
165;sup;;super;abcm001;2;abcm0012;1
166;MN4;;super;abgm002;502;abgm0022;1
167;PI6;;super;abgm002;574;abgm0022;1
168;sup;;super;abgm002;2;abgm0022;1
169;sup;;super;AC0120Q;2;AC0120Q2;1
170;sup;;super;ac0301;2;ac03012;1
171;sup;;super;ac0302;2;ac03022;1
172;sup;;super;ac0303;2;ac03032;1
173;sup;;super;ac0303a;2;ac0303a2;1
174;sup;;super;ac0304;2;ac03042;1
175;sup;;super;ac0306;2;ac03062;1
176;sup;;super;ac0307;2;ac03072;1
177;sup;;super;ac0308;2;ac03082;1
178;sup;;super;ac0311;2;ac03112;1
179;sup;;super;ac0312;2;ac03122;1
180;sup;;super;ac0313;2;ac03132;1
181;sup;;super;ac0314;2;ac03142;1
182;ASB;;super;ac0401;888;ac04012;1
183;sup;;super;ac0401;2;ac04012;1
184;ASB;;super;ac0402;888;ac04022;1
185;sup;;super;ac0402;2;ac04022;1
186;ASB;;super;ac0403;888;ac04032;1
187;sup;;super;ac0403;2;ac04032;1
188;ASB;;super;ac0405;888;ac04052;1
189;sup;;super;ac0405;2;ac04052;1
190;ASB;;super;ac0406;888;ac04062;1
191;sup;;super;ac0406;2;ac04062;1
192;ASB;;super;ac0407;888;ac04072;1
193;sup;;super;ac0407;2;ac04072;1
194;ASB;;super;ac0408;888;ac04082;1
195;sup;;super;ac0408;2;ac04082;1
196;ASB;;super;ac0409;888;ac04092;1
197;sup;;super;ac0409;2;ac04092;1
198;ASB;;super;ac0410;888;ac04102;1
199;sup;;super;ac0410;2;ac04102;1
200;ASB;;super;ac0411;888;ac04112;1
201;sup;;super;ac0411;2;ac04112;1
202;ASB;;super;ac0412;888;ac04122;1
203;sup;;super;ac0412;2;ac04122;1
204;ASB;;super;ac0413;888;ac04132;1
205;sup;;super;ac0413;2;ac04132;1
206;ASB;;super;ac0414;888;ac04142;1
207;sup;;super;ac0414;2;ac04142;1
208;ASB;;super;ac0415;888;ac04152;1
209;sup;;super;ac0415;2;ac04152;1
210;ASB;;super;ac0416;888;ac04162;1
211;sup;;super;ac0416;2;ac04162;1
212;ASB;;super;ac0417;888;ac04172;1
213;sup;;super;ac0417;2;ac04172;1
214;sup;;super;ac0417rp;2;ac0417rp2;1
215;ASB;;super;ac0418;888;ac04182;1
216;sup;;super;ac0418;2;ac04182;1
217;sup;;super;ac0418rp;2;ac0418rp2;1
218;ASB;;super;ac0419;888;ac04192;1
219;sup;;super;ac0419;2;ac04192;1
220;ASB;;super;ac0501;888;ac05012;1
221;sup;;super;ac0501;2;ac05012;1
222;ASB;;super;ac0502;888;ac05022;1
223;sup;;super;ac0502;2;ac05022;1
224;ASB;;super;ac0503;888;ac05032;1
225;sup;;super;ac0503;2;ac05032;1
226;ASB;;super;ac0504;888;ac05042;1
227;sup;;super;ac0504;2;ac05042;1
228;ASB;;super;ac0505;888;ac05052;1
229;sup;;super;ac0505;2;ac05052;1
230;ASB;;super;ac0506;888;ac05062;1
